no,datetime,name,position,long,lat,narration,year,date,reg_country
1,"04.01.2010
0200 LT
Berthed
Boarded","Sanya
Container
Singapore
16705
9178393","06:05.86S –
106:54.15E,
Koja Container
Terminal,
Tanjung Priok,
Indonesia",106.904167,-6.107222,"Three robbers boarded the ship berthed
via poop deck and steering gear room.
They tied up the A/B and assaulted him.
Robbersstoleship‟spropertiesand
escaped.",2010,2010-01-04,Singapore
3,"13.01.2010
0415 LT
Anchored
Boarded","PFS Narayana
Bulk Carrier
India
28330
8130667","03:13S –
116:23E,
Tanjung
Pemancingan,
Indonesia",116.383333,-3.216667,"Robbers boarded the ship at anchorage
unnoticed.Theybrokeintoforepeak
store and stole ship stores.",2010,2010-01-13,India
4,"15.01.2010
0300 LT
Anchored
Boarded","Crane Island
General cargo
Panama
20242
9478482","05:31.6S
105:18.0E
Tarahan
anchorage
Indonesia",105.3,-5.518334,"Robbers armed with long knives boarded
theshipandenteredtheengineroom.
Watch keepersnoticed the robbers but
didnottakeanyactionastheywere
afraid. Robbers broke open spare parts
boxesandstoleenginesparesand
escaped.",2010,2010-01-15,Panama
5,"18.01.2010
2030 LT
Anchored
Boarded","Berlin
Bulk Carrier
Liberia
39737
9516387","01:42S –
116:39E,
Adang Bay
Anchorage,
Indonesia",116.65,-1.7,"Robbersboardedtheshipatanchor.
Dutycrewnoticedthemandraised
alarm.Robbersjumpedoverboardand
escaped with ship‟s stores. Attempts to
callpoliceviatheagentwerenot
successful.",2010,2010-01-18,Liberia
6,"21.01.2010
1200 LT
Anchored
Boarded","British Holly
Tanker
Isle of Man
58070
9266865","14:33.74N –
120:55.24E,
Manila South
Harbour
Anchorage,
Philippines",120.923334,14.570556,"Unnoticed robbers boarded an anchored
tankerandstolealiferaftandship‟s
propertyandescaped.Portauthorities
informed.",2010,2010-01-21,Isle of Man
7,"29.01.2010
0300 LT
Anchored
Boarded","PAC Alnath
General Cargo
Singapore
20471
9265926","06:00.5S –
105:56.5E,
Ciwandan
Anchorage,
Indonesia",105.934722,-6.001389,"Four robbers in a speed boat approached
an anchored ship from the port quarter.
Onerobberboardedbyusingahook
attached to a rope. He was spotted by the
deckwatchman.Alarmraisedandthe
robber escaped via the same rope.  Local
authorities informed.",2010,2010-01-29,Singapore
8,"06.02.2010
0200 LT","Asta
Tug","03:12.10N –
104:01.45E,",104.029167,3.202778,"A tug towing an empty barge with 12
crewmembers,enroutefromSingapore",2010,2010-02-06,NA
9,"13.02.2010
0530 LT
Anchored
Boarded","Theodor Storm
Container
Liberia
28270
9248679","01:18.4N –
104:12.48E,
Malaysia",104.213333,1.301111,"Duty oiler onboard the ship reported to
duty officer that there were five robbers
intheengineroom.Alarmraisedand
crew mustered. Robbers escaped without
stealing anything.",2010,2010-02-13,Liberia
10,"11.03.2010
0330 LT
Anchored
Boarded","SP Athens
Chemical Tanker
Marshall Islands
5256
9498975","01:17.8N –
104:10.7E,
Malaysia",104.168611,1.285555,"Robbers armed with knives boarded the
tanker at anchor. They entered into the
engineroomandthreatenedtheduty
watch keeper with knives, tied him up,
stoleship‟sequipmentandescaped.
Onlyduringthenextdutywatch
handover was the incident realized and
the duty watch man released.",2010,2010-03-11,Marshall Islands
12,"20.03.2010
0500 LT
Anchored
Boarded","Hesnes
Tanker
Malta
38792
8907187","01:18.9N –
104:14.6E,
2.4 NM SE of
Tanjung Ayam,
Malaysia",104.235,1.3025,"Five robbers armed with knives boarded
the tanker at anchor.  Duty crew noticed
the robbers trying to gain access into the
engine room. OOW informed and alarm
raised. Crew mustered and made a search
throughout the ship. No robbers sighted
andnothingstolen.Masterinformed
JohorPFSOandSingaporeFusion
Centre.Later,Malaysiancoastguard
boarded the ship for investigation.",2010,2010-03-20,Malta
13,"10.04.2010
0515 LT
Anchored
Boarded","South Sea
Tanker
Liberia
78845
9286657","01:28.6S –
116:48.9E,
Lawi-Lawi
Anchorage,
Balikpapan,
Indonesia",116.8025,-1.468334,"Robbers boarded the tanker by breaking
open the hawse pipe cover. They entered
the forecastle and stole ship‟s property
by breaking the lock on the booby hatch
and escaped.",2010,2010-04-10,Liberia
14,"16.04.2010
2000 UTC
Anchored
Boarded","Semua Gembira
Product Tanker
Malaysia
5182
9494917","01:18.42N –
104:12.7E,
1.4 NM South of
Tg. Ayam,
Malaysia",104.201944,1.311667,"Six robbers boarded an anchored tanker
via the poop deck. OOW spotted them
andraisedthealarm.Crewmustered.
Robbersescapedintheirboat.An
investigationwasconductedandno
robbers were found. Nothing was stolen.",2010,2010-04-16,Malaysia
15,"17.04.2010
0430  LT
Steaming
Boarded","Greenville 16
Tug
Singapore
223
9131280","02:32.57N –
104:45.09E, Off
Pulau Aur,
Malaysia",104.7525,2.549166,"About ten pirates armed with long knives
boardedthetugunderway.Theystole
tug‟sproperties,crewpersonal
belongings and escaped.",2010,2010-04-17,Singapore
16,"20.04.2010
0345 LT
Anchored
Boarded","Kurobe
General Cargo
Panama
20069
9392171","06:02.4S –
106:54.1E,
Tanjung Priok
Anchorage,
Indonesia",106.900278,-6.034444,"Fourrobbersarmedwithlongknives
boardedananchoredship.DutyA/B
returning after rounds to the forecastle
deck saw one robber coming out from
portsideentranceandimmediately",2010,2010-04-20,Panama
17,"24.04.2010
2050 UTC
Anchored
Boarded","LPG Linda
LPG Tanker
Singapore
2861
9351854","01:18.5N –
104:13.9E,
Malaysia",104.219167,1.301389,"Six robbers armed with knives boarded
the tanker at anchor. They entered into
the engine room and tied up duty fitter.
Fittermanagedtofreehimselfand
informed duty officer on bridge.  Alarm
raised and crew alerted.  After a search it
was discovered steering gear room door
wasbrokeopen.Nothingwasstolen.
Robbers escaped.",2010,2010-04-24,Singapore
